               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.064903,             0.12064,             0.02208,             0.80799,             0.18519,              0.3005,             0.13055,            0.059797,            0.096939,            0.021895,           0.0091337,           0.0091337,           0.0091337
                  37,            0.059611,             0.12361,            0.021243,             0.50072,             0.41398,             0.24158,            0.098892,            0.068152,            0.093231,            0.021707,            0.009109,            0.009109,            0.009109
                  38,            0.071067,             0.12273,             0.02108,             0.63394,             0.18206,             0.21937,            0.092171,            0.070432,            0.092201,            0.021256,           0.0090843,           0.0090843,           0.0090843
                  39,            0.068494,             0.12871,            0.020875,             0.70298,             0.23045,             0.31226,             0.13791,            0.064059,            0.098274,            0.021206,           0.0090595,           0.0090595,           0.0090595
                  40,            0.063815,             0.12806,             0.02051,             0.84199,             0.22727,             0.33954,             0.14757,            0.060574,            0.093193,            0.020881,           0.0090347,           0.0090347,           0.0090347
                  41,            0.061663,             0.11766,            0.020503,             0.54461,             0.42371,             0.31311,             0.14324,            0.063677,            0.095665,            0.020446,             0.00901,             0.00901,             0.00901
                  42,            0.063797,             0.13258,            0.020096,             0.53094,             0.45911,             0.31932,             0.13186,            0.059971,            0.091522,            0.020634,           0.0089853,           0.0089853,           0.0089853
                  43,            0.058536,             0.11351,            0.020533,             0.52492,             0.37358,             0.24395,              0.1142,            0.063062,            0.095413,            0.020091,           0.0089605,           0.0089605,           0.0089605
                  44,            0.064661,             0.12499,            0.020367,             0.58783,             0.43548,             0.35552,             0.16678,            0.059491,            0.093193,            0.019942,           0.0089358,           0.0089358,           0.0089358
                  45,            0.060125,             0.13013,            0.020064,             0.60907,             0.26491,             0.28206,             0.14084,            0.064718,            0.093796,            0.020274,            0.008911,            0.008911,            0.008911
                  46,            0.061446,             0.11643,            0.019929,             0.57333,             0.42122,             0.32103,             0.14516,            0.058743,            0.091324,            0.019798,           0.0088863,           0.0088863,           0.0088863
